issuer_name_raw,card_name,source_url
체크카드,올유닛 체크카드,https://www.card-gorilla.com/card/detail/2508
체크카드,에어머니 체크카드,https://www.card-gorilla.com/card/detail/2509
체크카드,미타임 체크카드,https://www.card-gorilla.com/card/detail/2510
고향으로카드,zgm.고향으로카드,https://www.card-gorilla.com/card/detail/2513
컬리카드,컬리카드,https://www.card-gorilla.com/card/detail/2518
PP카드,K-22(Point),https://www.card-gorilla.com/card/detail/2535
PP카드,K-22(Mileage),https://www.card-gorilla.com/card/detail/2536
play카드,zgm.play카드,https://www.card-gorilla.com/card/detail/2544
NH농협카드,zgm.play++카드,https://www.card-gorilla.com/card/detail/2545
바로카드,K-패스 카드,https://www.card-gorilla.com/card/detail/2557
UNKNOWN,K-패스 (신용),https://www.card-gorilla.com/card/detail/2559
패스카드,K-패스카드(신용),https://www.card-gorilla.com/card/detail/2560
패스카드,K-패스카드(체크),https://www.card-gorilla.com/card/detail/2561
신용카드,K-패스(체크),https://www.card-gorilla.com/card/detail/2562
그린카드,[광주] K-그린카드v2,https://www.card-gorilla.com/card/detail/2564
트래블제로카드,트래블제로카드,https://www.card-gorilla.com/card/detail/2582
바로카드,BC 바로 On&Off 카드,https://www.card-gorilla.com/card/detail/2591
NH농협카드,zgm.일본여행중 카드,https://www.card-gorilla.com/card/detail/2593
체크카드,더나은 체크카드,https://www.card-gorilla.com/card/detail/2601
바로카드,kt DC PLUS,https://www.card-gorilla.com/card/detail/2607
그린카드,I-어디로든 그린카드,https://www.card-gorilla.com/card/detail/2610
UNKNOWN,IBK KaPick,https://www.card-gorilla.com/card/detail/2615
그린카드,어디로든 그린카드,https://www.card-gorilla.com/card/detail/2616
그린카드,어디로든 그린카드,https://www.card-gorilla.com/card/detail/2617
체크카드,NH 무럭이 체크카드,https://www.card-gorilla.com/card/detail/2620
그린체크카드,어디로든 그린체크카드,https://www.card-gorilla.com/card/detail/2621
그린카드,어디로든 그린카드,https://www.card-gorilla.com/card/detail/2622
머니카드,네이버페이 머니카드,https://www.card-gorilla.com/card/detail/2626
체크카드,브라보(Bravo) 체크카드,https://www.card-gorilla.com/card/detail/2628
바로카드,GOAT BC 바로카드,https://www.card-gorilla.com/card/detail/2644
shopping카드,zgm shopping카드,https://www.card-gorilla.com/card/detail/2648
living카드,zgm living카드,https://www.card-gorilla.com/card/detail/2649
머니트리카드,머니트리카드,https://www.card-gorilla.com/card/detail/2650
UNKNOWN,樂SEA(락시),https://www.card-gorilla.com/card/detail/2672
UNKNOWN,I-Mileage (대한항공),https://www.card-gorilla.com/card/detail/2674
UNKNOWN,I-Mileage (아시아나),https://www.card-gorilla.com/card/detail/2675
point카드,zgm point카드,https://www.card-gorilla.com/card/detail/2698
할인카드,zgm 할인카드,https://www.card-gorilla.com/card/detail/2706
바로카드,BC 바로 KaPick,https://www.card-gorilla.com/card/detail/2724
NH트래블리체크카드,NH트래블리체크카드,https://www.card-gorilla.com/card/detail/2727
바로카드,BC 바로 MACAO 카드,https://www.card-gorilla.com/card/detail/2728
체크카드,더담은 체크카드,https://www.card-gorilla.com/card/detail/2745
체크카드,ONE 체크카드,https://www.card-gorilla.com/card/detail/2749
춘식이달달체크카드,춘식이달달체크카드,https://www.card-gorilla.com/card/detail/2758
기후동행카드,기후동행카드(신용),https://www.card-gorilla.com/card/detail/2772
기후동행카드,기후동행카드(체크),https://www.card-gorilla.com/card/detail/2773
기후동행카드,BC 바로 기후동행카드,https://www.card-gorilla.com/card/detail/2774
UNKNOWN,IBK포인트3.8(신용),https://www.card-gorilla.com/card/detail/2778
체크카드,IBK포인트(체크),https://www.card-gorilla.com/card/detail/2783
체크카드,딩딩 체크카드,https://www.card-gorilla.com/card/detail/2808
NH농협카드,zgm.고향으로 체크,https://www.card-gorilla.com/card/detail/2812
체크카드,NH1961체크카드,https://www.card-gorilla.com/card/detail/2813
CHECK카드,1ST A-CHECK카드,https://www.card-gorilla.com/card/detail/2816
체크카드,iM K-패스 카드,https://www.card-gorilla.com/card/detail/2818
챔피언스카드,기아 챔피언스카드,https://www.card-gorilla.com/card/detail/2838
체크카드,Together 체크카드,https://www.card-gorilla.com/card/detail/2839
트래블카드,클래시 트래블카드,https://www.card-gorilla.com/card/detail/2846
ALPHA카드,케이뱅크 ALPHA카드,https://www.card-gorilla.com/card/detail/2849
기후동행카드,I-기후동행카드(신용),https://www.card-gorilla.com/card/detail/2850
NH농협카드,미미(美米)카드,https://www.card-gorilla.com/card/detail/2854
체크카드,라이프핏 체크카드,https://www.card-gorilla.com/card/detail/2860
UNKNOWN,I-Travel(체크),https://www.card-gorilla.com/card/detail/2866
체크카드,우체국 LUCK-KEY 체크카드,https://www.card-gorilla.com/card/detail/2871
쿵야싱싱체크카드,쿵야싱싱체크카드,https://www.card-gorilla.com/card/detail/2874
UNKNOWN,iM 트래블 카드,https://www.card-gorilla.com/card/detail/2895
오키카드,오키카드 H,https://www.card-gorilla.com/card/detail/2900
오키카드,오키카드 S,https://www.card-gorilla.com/card/detail/2901
IBK카드,해피메이트 IBK카드(신용),https://www.card-gorilla.com/card/detail/2911
기쁨카드,IBK BUDDY CHECK,https://www.card-gorilla.com/card/detail/2917
