source_id,card_name,issuer_name_raw,source_url
2510,미타임 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2510
2513,zgm.고향으로카드,고향으로카드,https://www.card-gorilla.com/card/detail/2513
2518,컬리카드,컬리카드,https://www.card-gorilla.com/card/detail/2518
2535,K-22(Point),PP카드,https://www.card-gorilla.com/card/detail/2535
2536,K-22(Mileage),PP카드,https://www.card-gorilla.com/card/detail/2536
2544,zgm.play카드,play카드,https://www.card-gorilla.com/card/detail/2544
2545,zgm.play++카드,NH농협카드,https://www.card-gorilla.com/card/detail/2545
2557,K-패스 카드,바로카드,https://www.card-gorilla.com/card/detail/2557
2559,K-패스 (신용),UNKNOWN,https://www.card-gorilla.com/card/detail/2559
2560,K-패스카드(신용),패스카드,https://www.card-gorilla.com/card/detail/2560
2561,K-패스카드(체크),패스카드,https://www.card-gorilla.com/card/detail/2561
2562,K-패스(체크),신용카드,https://www.card-gorilla.com/card/detail/2562
2564,[광주] K-그린카드v2,그린카드,https://www.card-gorilla.com/card/detail/2564
2582,트래블제로카드,트래블제로카드,https://www.card-gorilla.com/card/detail/2582
2591,BC 바로 On&Off 카드,바로카드,https://www.card-gorilla.com/card/detail/2591
2593,zgm.일본여행중 카드,NH농협카드,https://www.card-gorilla.com/card/detail/2593
2601,더나은 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2601
2607,kt DC PLUS,바로카드,https://www.card-gorilla.com/card/detail/2607
2610,I-어디로든 그린카드,그린카드,https://www.card-gorilla.com/card/detail/2610
2615,IBK KaPick,UNKNOWN,https://www.card-gorilla.com/card/detail/2615
2616,어디로든 그린카드,그린카드,https://www.card-gorilla.com/card/detail/2616
2617,어디로든 그린카드,그린카드,https://www.card-gorilla.com/card/detail/2617
2620,NH 무럭이 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2620
2621,어디로든 그린체크카드,그린체크카드,https://www.card-gorilla.com/card/detail/2621
2622,어디로든 그린카드,그린카드,https://www.card-gorilla.com/card/detail/2622
2626,네이버페이 머니카드,머니카드,https://www.card-gorilla.com/card/detail/2626
2628,브라보(Bravo) 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2628
2644,GOAT BC 바로카드,바로카드,https://www.card-gorilla.com/card/detail/2644
2648,zgm shopping카드,shopping카드,https://www.card-gorilla.com/card/detail/2648
2649,zgm living카드,living카드,https://www.card-gorilla.com/card/detail/2649
2650,머니트리카드,머니트리카드,https://www.card-gorilla.com/card/detail/2650
2672,樂SEA(락시),UNKNOWN,https://www.card-gorilla.com/card/detail/2672
2674,I-Mileage (대한항공),UNKNOWN,https://www.card-gorilla.com/card/detail/2674
2675,I-Mileage (아시아나),UNKNOWN,https://www.card-gorilla.com/card/detail/2675
2698,zgm point카드,point카드,https://www.card-gorilla.com/card/detail/2698
